SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,f1,f2,g
0.23,0.034,0.95,918,73,215,42,178,266,79,2.86E-06,2.00E-06,0.847,0.207,0.64
0.38,0.031,0.82,208,44,126,100,298,259,129,1.98E-05,1.90E-05,0.306,0.164,0.142
0.2,0.07,0.75,100,91,215,142,133,229,51,2.55E-05,1.90E-05,0.253,0.265,-0.012
0.39,0.046,0.99,888,49,203,122,150,295,74,6.48E-06,9.00E-06,0.347,0.323,0.024
0.2,0.095,0.78,783,89,120,107,288,255,123,6.60E-06,2.00E-05,0.353,0.21,0.143
0.13,0.052,0.9,519,93,179,197,105,250,44,2.85E-05,1.60E-05,0.216,0.247,-0.031
0.3,0.024,0.81,435,53,216,147,259,288,126,7.96E-06,4.00E-06,0.336,0.117,0.219
0.17,0.089,0.87,808,13,210,200,185,202,63,8.55E-06,5.00E-06,0.239,0.085,0.154
0.39,0.026,0.92,617,46,185,151,169,260,74,1.73E-05,1.20E-05,0.232,0.229,0.003
0.25,0.093,0.82,22,47,130,129,221,292,110,1.22E-05,1.40E-05,0.284,0.235,0.049
0.26,0.042,0.7,745,74,118,64,122,250,52,1.42E-05,1.00E-05,0.534,0.276,0.258
0.18,0.03,0.71,249,23,146,158,168,205,59,2.47E-05,1.90E-05,0.223,0.169,0.054
0.33,0.012,0.92,662,69,146,47,293,249,124,1.04E-05,1.40E-05,0.791,0.154,0.637
0.32,0.085,0.98,96,34,152,91,270,273,125,1.75E-06,5.00E-06,0.295,0.209,0.086
0.14,0.028,0.72,586,100,148,87,283,264,128,2.65E-06,5.00E-06,0.489,0.188,0.301
0.27,0.043,0.96,789,85,146,67,166,204,58,1.36E-06,4.00E-06,0.567,0.257,0.31
0.26,0.053,0.98,47,30,162,106,242,251,105,8.16E-06,6.00E-06,0.345,0.155,0.19
0.13,0.029,0.96,916,84,144,118,109,274,52,1.41E-05,8.00E-06,0.354,0.275,0.079
0.18,0.068,0.88,78,54,142,123,177,257,79,2.25E-06,5.00E-06,0.205,0.277,-0.072
0.19,0.097,1,359,75,138,135,130,279,63,6.48E-06,4.00E-06,0.333,0.239,0.094
0.37,0.052,0.77,846,35,165,175,216,280,105,2.06E-05,1.60E-05,0.222,0.167,0.055
0.34,0.036,0.86,126,23,166,79,223,202,78,3.42E-06,9.00E-06,0.214,0.198,0.016
0.29,0.069,0.88,458,94,140,84,231,260,105,2.79E-05,1.40E-05,0.464,0.143,0.321
0.17,0.023,0.79,850,64,204,129,292,251,128,2.00E-06,4.00E-06,0.229,0.204,0.025
0.12,0.07,0.83,137,42,127,92,164,231,66,5.50E-06,5.00E-06,0.413,0.208,0.205
0.12,0.044,0.94,835,76,154,194,207,298,108,2.95E-05,1.50E-05,0.309,0.14,0.169
0.17,0.045,0.96,25,30,171,158,295,281,145,1.42E-05,1.20E-05,0.269,0.151,0.118
0.31,0.081,0.94,286,74,199,103,212,280,104,1.13E-05,1.80E-05,0.349,0.233,0.116
0.36,0.086,0.92,794,4,148,139,258,211,96,1.41E-05,1.70E-05,0.187,0.106,0.081
0.24,0.013,0.71,658,84,207,124,149,280,73,2.20E-05,1.40E-05,0.326,0.223,0.103
0.2,0.065,0.72,112,13,145,87,108,274,52,1.05E-05,6.00E-06,0.423,0.26,0.163
0.26,0.08,0.78,854,84,183,99,284,281,141,9.25E-06,5.00E-06,0.47,0.114,0.356
