SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR
0.23,0.034,0.95,918,73,215,42,178,266,79,2.86E-06,2.00E-06
0.38,0.031,0.82,208,44,126,100,298,259,129,1.98E-05,1.90E-05
0.2,0.07,0.75,100,91,215,142,133,229,51,2.55E-05,1.90E-05
0.39,0.046,0.99,888,49,203,122,150,295,74,6.48E-06,9.00E-06
0.2,0.095,0.78,783,89,120,107,288,255,123,6.60E-06,2.00E-05
0.13,0.052,0.9,519,93,179,197,105,250,44,2.85E-05,1.60E-05
0.3,0.024,0.81,435,53,216,147,259,288,126,7.96E-06,4.00E-06
0.17,0.089,0.87,808,13,210,200,185,202,63,8.55E-06,5.00E-06
0.39,0.026,0.92,617,46,185,151,169,260,74,1.73E-05,1.20E-05
0.25,0.093,0.82,22,47,130,129,221,292,110,1.22E-05,1.40E-05
