SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,SD,f1,f2,g
0.25,0.083,0.92,26,66,148,191,140,324,164,4.29E-06,3.00E-06,30,0.994,0.243,0.751
0.1,0.078,1,250,2.31,115,200,140,300,150,5.00E-06,5.00E-06,10,0.986,0.234,0.752
0.37,0.037,0.89,570,12,126,102,120,358,169,2.26E-05,8.00E-06,17,0.95,0.358,0.592
0.39,0.056,0.94,290,26,193,159,170,392,161,1.49E-05,7.00E-06,17,0.942,0.157,0.785
0.29,0.016,0.98,275,52,216,134,120,270,164,3.60E-06,1.00E-05,10,0.929,0.278,0.651
0.25,0.031,0.84,60,75,139,168,137,276,166,7.38E-06,9.00E-06,18,0.916,0.304,0.612
0.14,0.058,0.82,783,25,156,185,139,372,154,1.54E-05,6.00E-06,26,0.906,0.27,0.636
0.13,0.062,0.89,727,52,164,168,106,273,183,4.86E-06,6.00E-06,11,0.905,0.347,0.558
0.15,0.098,0.9,247,74,143,129,174,231,173,1.65E-06,5.00E-06,30,0.895,0.27,0.625
0.31,0.061,0.93,933,62,147,152,173,202,192,2.50E-06,1.00E-06,30,0.881,0.243,0.638
0.34,0.059,0.95,629,23,145,101,152,237,178,2.36E-06,4.00E-06,25,0.881,0.302,0.579
0.13,0.072,0.93,521,73,194,126,117,391,184,1.57E-05,8.00E-06,13,0.877,0.198,0.679
0.38,0.098,0.81,776,60,139,165,109,267,179,3.94E-06,2.00E-06,14,0.876,0.304,0.572
0.39,0.061,0.88,229,52,136,162,156,294,165,6.42E-06,6.00E-06,14,0.875,0.235,0.64
0.3,0.063,0.84,488,61,186,174,183,313,184,1.51E-05,6.00E-06,15,0.871,0.278,0.593
0.11,0.076,0.86,605,93,209,166,150,203,154,1.78E-06,1.00E-06,23,0.871,0.389,0.482
0.36,0.087,0.94,937,79,157,177,110,337,174,1.05E-05,8.00E-06,22,0.868,0.335,0.533
0.25,0.042,0.9,990,51,115,101,162,342,198,1.90E-05,7.00E-06,28,0.862,0.197,0.665
