SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,SD
0.25,0.083,0.92,26,66,148,191,140,324,164,4.29E-06,3.00E-06,30
0.1,0.078,1,250,2.31,115,200,140,300,150,5.00E-06,5.00E-06,10
0.37,0.037,0.89,570,12,126,102,120,358,169,2.26E-05,8.00E-06,17
0.39,0.056,0.94,290,26,193,159,170,392,161,1.49E-05,7.00E-06,17
0.29,0.016,0.98,275,52,216,134,120,270,164,3.60E-06,1.00E-05,10
0.25,0.031,0.84,60,75,139,168,137,276,166,7.38E-06,9.00E-06,18
0.14,0.058,0.82,783,25,156,185,139,372,154,1.54E-05,6.00E-06,26
0.13,0.062,0.89,727,52,164,168,106,273,183,4.86E-06,6.00E-06,11
0.15,0.098,0.9,247,74,143,129,174,231,173,1.65E-06,5.00E-06,30
0.31,0.061,0.93,933,62,147,152,173,202,192,2.50E-06,1.00E-06,30
