SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,FP,f1,f2,g
0.4,0.023,0.98,733,77,229,192,136,697,308,3.15E-06,5.00E-06,0,0.332,0.459,-0.127
0.33,0.011,1,476,37,448,156,119,670,358,3.36E-06,4.00E-06,0,0.34,0.458,-0.118
0.15,0.088,0.81,692,75,439,83,110,698,234,4.62E-06,3.00E-06,0,0.388,0.457,-0.069
0.12,0.051,0.91,496,90,331,75,136,625,356,6.09E-06,7.00E-06,1,0.401,0.452,-0.051
0.39,0.052,0.94,500,39,408,148,113,642,334,3.14E-06,2.00E-06,0.5,0.37,0.45,-0.08
0.17,0.025,0.97,908,38,233,100,125,672,214,6.12E-06,3.00E-06,0.5,0.379,0.45,-0.071
0.19,0.045,0.89,863,68,190,56,115,641,246,1.52E-06,2.00E-06,0.5,0.531,0.449,0.082
0.32,0.064,0.87,463,45,237,170,121,637,206,2.18E-06,2.00E-06,1,0.344,0.449,-0.105
0.4,0.069,0.89,874,81,349,142,114,550,308,3.88E-06,4.00E-06,1,0.284,0.449,-0.165
0.27,0.074,0.94,504,64,256,163,119,580,222,1.64E-06,2.00E-06,0,0.253,0.448,-0.195
0.22,0.015,0.88,952,49,436,82,120,604,332,2.82E-06,2.00E-06,0.5,0.383,0.446,-0.063
0.39,0.04,0.87,534,87,379,89,115,430,308,3.69E-06,3.00E-06,0.5,0.294,0.446,-0.152
0.16,0.09,0.92,965,59,179,180,125,543,224,1.80E-06,2.00E-06,0,0.273,0.444,-0.171
0.36,0.074,0.98,490,63,392,51,104,699,400,8.01E-06,9.00E-06,0,0.564,0.444,0.12
0.34,0.017,0.99,235,97,325,60,134,600,260,2.72E-06,4.00E-06,0,0.488,0.444,0.044
0.3,0.05,0.98,127,51,338,127,107,560,386,3.88E-06,2.00E-06,1,0.31,0.442,-0.132
0.25,0.052,0.89,318,71,248,197,142,622,354,9.72E-06,6.00E-06,0,0.344,0.442,-0.098
0.3,0.043,0.91,392,22,250,195,132,565,398,6.00E-06,3.00E-06,0,0.274,0.441,-0.167
0.14,0.023,0.96,296,63,343,108,152,683,394,6.48E-06,3.00E-06,0,0.455,0.441,0.014
0.36,0.025,0.83,94,71,314,168,153,696,262,5.40E-06,2.00E-06,0,0.382,0.441,-0.059
0.33,0.027,1,264,46,337,181,127,577,392,5.70E-06,2.00E-06,1,0.279,0.441,-0.162
0.25,0.063,0.97,170,67,317,176,165,698,312,4.76E-06,4.00E-06,0,0.392,0.44,-0.048
0.31,0.076,0.81,60,78,224,172,109,418,334,8.60E-06,5.00E-06,1,0.254,0.44,-0.186
0.31,0.015,0.87,117,88,199,192,137,368,366,3.92E-06,7.00E-06,0,0.286,0.44,-0.154
0.39,0.086,0.97,266,79,338,169,196,639,342,5.32E-06,7.00E-06,0.5,0.385,0.439,-0.054
0.21,0.048,0.98,317,65,304,89,139,581,264,8.04E-06,6.00E-06,0,0.292,0.439,-0.147
0.32,0.044,0.94,821,45,155,192,129,663,330,1.04E-05,6.00E-06,1,0.341,0.439,-0.098
0.34,0.049,0.97,618,95,191,108,197,702,282,3.04E-06,4.00E-06,0.5,0.42,0.438,-0.018
0.15,0.019,0.94,370,44,302,173,124,357,382,4.12E-06,2.00E-06,0.5,0.258,0.437,-0.179
0.14,0.013,0.89,954,94,359,167,151,540,350,5.58E-06,6.00E-06,0,0.306,0.437,-0.131
0.26,0.026,0.93,267,63,412,89,179,652,266,3.78E-06,3.00E-06,0.5,0.434,0.437,-0.003
0.3,0.063,0.91,725,77,347,96,156,695,280,6.00E-06,8.00E-06,0.5,0.451,0.436,0.015
0.33,0.074,0.85,564,53,190,179,186,631,398,5.85E-06,9.00E-06,0.5,0.453,0.436,0.017
