SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,FP
0.4,0.023,0.98,733,77,229,192,136,697,308,3.15E-06,5.00E-06,0
0.33,0.011,1,476,37,448,156,119,670,358,3.36E-06,4.00E-06,0
0.15,0.088,0.81,692,75,439,83,110,698,234,4.62E-06,3.00E-06,0
0.12,0.051,0.91,496,90,331,75,136,625,356,6.09E-06,7.00E-06,1
0.39,0.052,0.94,500,39,408,148,113,642,334,3.14E-06,2.00E-06,0.5
0.17,0.025,0.97,908,38,233,100,125,672,214,6.12E-06,3.00E-06,0.5
0.19,0.045,0.89,863,68,190,56,115,641,246,1.52E-06,2.00E-06,0.5
0.32,0.064,0.87,463,45,237,170,121,637,206,2.18E-06,2.00E-06,1
0.4,0.069,0.89,874,81,349,142,114,550,308,3.88E-06,4.00E-06,1
0.27,0.074,0.94,504,64,256,163,119,580,222,1.64E-06,2.00E-06,0
